holeIndex,pixelX,pixelY,refX,refY
1,141.078954027421,129.208412865762,-2.43466268848408,-2.68505691611283
2,393.948481702806,131.213228679436,2.89930391091856,-2.64276783254314
3,264.226693831789,162.30422834251,0.16298494801429,-1.98694205840018
4,202.682716543619,193.065515098842,-1.13520832290804,-1.3380711658838
5,328.058137295292,193.10611785174,1.50942945857257,-1.33721470156485
6,264.744098228095,224.304215747358,0.173898946998889,-0.679129824079173
7,170.240945991968,254.082209450508,-1.81952692048193,-0.051000269403346
8,233.033100113149,254.798047843808,-0.495004919488266,-0.0359005532946677
9,296.578963441501,254.871849612939,0.845415635094154,-0.0343437972270646
10,359.949406407228,254.996104116803,2.18213591640246,-0.031722803786181
11,263.875324898196,285.249605703556,0.155573259571317,0.606436995309385
12,200.197375473316,315.167004866829,-1.18763348610974,1.23750713390967
13,327.570008079241,315.227165879084,1.49913298292149,1.23877615526193
14,263.081728085189,345.365546403818,0.13883332679696,1.87450761945554
15,392.182528454621,375.275907493262,2.86205333458966,2.505429298686
16,136.701143023943,375.740602149104,-2.52700713933871,2.51523145158267
