target_index,achieved_index,target_x_ref_um,target_y_ref_um,achieved_x_ref_um,achieved_y_ref_um,residual_measured_um,target_x_ref_um_after_fit,target_y_ref_um_after_fit,residual_predicted_after_fit_um
1,1,-2.601345156,-2.601345156,-2.46180773569882,-4.53944545837579,1.94311694803309,-2.601345156,-2.601345156,0.0695786476983994
3,2,2.601345156,-2.601345156,2.87473164560932,-4.50018751125663,1.91842186779067,2.601345156,-2.601345156,0.0564093679689295
10,3,0,-1.951008867,0.15488310277539,-3.82761706215894,1.88298887242146,0,-1.951008867,0.0489123598263644
8,4,-1.300672578,-1.300672578,-1.11153480467136,-3.44517418013991,2.1528261004736,-1.300672578,-1.300672578,0.233122078132812
6,5,1.300672578,-1.300672578,1.45420241139845,-3.17651128369803,1.88211111774471,1.300672578,-1.300672578,0.0576906760040603
9,6,0,-0.6503362889,0.147411821961223,-2.54495532255166,1.9003451075868,0,-0.6503362889,0.03233521037652
11,7,-1.951008867,0,-1.86472305526185,-1.90859429634329,1.91054375227092,-1.951008867,0,0.0195364051318018
12,8,-0.6503362889,0,-0.540088935915791,-1.90224314394243,1.90543524096622,-0.6503362889,0,0.0301821534654992
15,9,0.6503362889,0,0.773990368451879,-1.90129562761538,1.90531241400962,0.6503362889,0,0.0476898264308151
16,10,1.951008867,0,2.15482299187552,-1.88865726266767,1.89962271341604,1.951008867,0,0.0394207702296287
13,11,0,0.6503362889,0.113561615490388,-1.25250273631928,1.90622469725115,0,0.6503362889,0.0405861080038153
5,12,-1.300672578,1.300672578,-1.21648392712117,-0.629159814747973,1.9316678785537,-1.300672578,1.300672578,0.0226078265961976
7,13,1.300672578,1.300672578,1.46232183083758,-0.623541674256715,1.930992224099,1.300672578,1.300672578,0.0218460231398213
14,14,0,1.951008867,0.0963418675089143,0.0146120859896959,1.93879195607527,0,1.951008867,0.0478829679610148
4,15,2.601345156,2.601345156,2.85461289650256,0.629556478400531,1.98798771059801,2.601345156,2.601345156,0.0501934460566426
2,16,-2.601345156,2.601345156,-2.56663385266378,0.648074703293377,1.95357885328339,-2.601345156,2.601345156,0.0397124911540645
