target_index,achieved_index,predicted_x_ref_um,predicted_y_ref_um,achieved_x_ref_um,achieved_y_ref_um,residual_measured_um,fit_corrected_achieved_x_ref_um,fit_corrected_achieved_y_ref_um,fit_residual_after_candidate_um
1,1,-2.601345156,-2.601345156,-2.43466268848408,-2.68505691611283,0.186522662854636,-2.53802504683812,-2.65098736699888,0.0804598367953232
3,2,2.601345156,-2.601345156,2.89930391091856,-2.64276783254314,0.300824297164668,2.64582972756042,-2.60839791017183,0.0450401870369348
10,3,0,-1.951008867,0.16298494801429,-1.98694205840018,0.166899033919981,-0.0134820352311091,-1.94791390020505,0.0138327182229197
8,4,-1.300672578,-1.300672578,-1.13520832290804,-1.3380711658838,0.169638067923561,-1.27514073896511,-1.29443417138531,0.026282932134635
6,5,1.300672578,-1.300672578,1.50942945857257,-1.33721470156485,0.211931031189442,1.29506999156672,-1.29357162372391,0.00904502771546338
9,6,0,-0.6503362889,0.173898946998889,-0.679129824079173,0.176266591943672,-0.00287518483380203,-0.630812464329406,0.0197343967146671
11,7,-1.951008867,0,-1.81952692048193,-0.051000269403346,0.141026698675796,-1.94020081445197,0.00177860392053147,0.0109534210083928
12,8,-0.6503362889,0,-0.495004919488266,-0.0359005532946677,0.159426108433305,-0.652954340239727,0.0169855711335124,0.0171861519703817
15,9,0.6503362889,0,0.845415635094154,-0.0343437972270646,0.198079397514008,0.649743260519939,0.0185533846147899,0.0185628597830151
16,10,1.951008867,0,2.18213591640246,-0.031722803786181,0.233293911719834,1.94884472341088,0.0211929945938178,0.0213032048604879
13,11,0,0.6503362889,0.155573259571317,0.606436995309385,0.161648343856036,-0.0206851393011203,0.663885550642024,0.0247276663205534
5,12,-1.300672578,1.300672578,-1.18763348610974,1.23750713390967,0.129490191221197,-1.32609052042647,1.29943808935965,0.0254479028487299
7,13,1.300672578,1.300672578,1.49913298292149,1.23877615526193,0.207888670853831,1.28506328577495,1.30071612438742,0.0156093529672032
14,14,0,1.951008867,0.13883332679696,1.87450761945554,0.158515404631127,-0.0369539664147317,1.94096309742133,0.0382950795822242
4,15,2.601345156,2.601345156,2.86205333458966,2.505429298686,0.277792379427189,2.60962748025476,2.57636612228364,0.026316326120189
2,16,-2.601345156,2.601345156,-2.52700713933871,2.51523145158267,0.113761640325767,-2.62777068238552,2.58623789845768,0.0304390813790735
