holeIndex,pixelX,pixelY,refX,refY
1,133.629132429684,109.649361559146,-2.59180736281135,-3.09763065461177
2,386.022419119137,110.358711422589,2.73211352829429,-3.08266780592976
3,256.916407210403,142.247771459721,0.00878358959443926,-2.41000794577151
4,194.058376854018,172.248796737036,-1.31712798823556,-1.77717381882815
5,320.176443310489,172.253015788285,1.34317497608063,-1.77708482321586
6,256.571282949694,203.227411783346,0.00150362472009835,-1.12371865769504
7,162.034222699013,232.932207320555,-1.99263748994269,-0.497133126832049
8,287.662664323261,233.221453775711,0.657337450568779,-0.491031834418605
9,351.837000372867,233.404461269242,2.01101485161516,-0.487171520101935
10,224.098166739802,234.106117763974,-0.683476170332296,-0.472370953416165
11,255.660177765903,264.131083978935,-0.017715000250484,0.160968177680659
12,319.053518537561,293.978724850237,1.31948828165168,0.79056685230969
13,192.184916964852,294.866078699665,-1.35664628277265,0.809284472571052
14,254.918306491355,324.140287470672,-0.0333638474479843,1.42678731383449
15,384.325373133027,353.378086250053,2.69631646452479,2.04352213183706
16,128.403795598241,355.60594111551,-2.7020293115996,2.0905159454053
