holeIndex,pixelX,pixelY,refX,refY
1,132.545600304326,110.29318370638,-2.61466311858063,-3.08405003119354
2,384.125041214005,111.772961284061,2.69209071310792,-3.05283597291434
3,256.297913139982,143.107054563044,-0.00426276970349893,-2.39188244281078
4,193.688224994467,173.292075610271,-1.32493587902296,-1.75516715509585
5,318.944747940449,173.324341744339,1.31719390186885,-1.75448654133035
6,255.10775982105,204.404934394257,-0.0293675662747166,-1.09888029012114
7,159.73116351173,233.358135962204,-2.04121764467444,-0.488148694547268
8,286.754726064035,234.400964345146,0.638185627913244,-0.466151533344571
9,217.783226938321,234.713150515525,-0.816681931769801,-0.459566356313152
10,351.171538812794,236.384003657674,1.99697777183236,-0.424321797845945
11,252.840621863155,264.37958308241,-0.0771900075740666,0.166209955644593
12,317.761521310189,295.04517270156,1.2922352151368,0.813062236673523
13,191.759576564021,295.296601743608,-1.36561830685268,0.818365818029231
14,251.861971945924,324.794055205441,-0.0978334042656721,1.44057772698978
15,127.267901695969,355.133745204613,-2.72598957360066,2.0805555629098
16,382.999986761953,355.262774930403,2.66835909575994,2.08327728368818
